field1,field2,field3,field4,field5,refkey1,refkey2
government,mention,25.92,on,3.723,theory,yet
career,raise,959.99,place,7.329,Congress,force
speak,quite,245.39,soon,3.482,skin,improve
road,service,364.06,reach,5.51,visit,husband
article,make,638.74,deal,4.678,various,third
pull,detail,522.57,agency,2.983,set,write
house,attention,237.07,perhaps,4.449,ever,sea
study,official,639.93,often,2.453,major,employee
stay,identify,456.08,build,4.978,minute,one
organization,maybe,160.67,common,1.059,accept,want
window,technology,335.51,early,2.101,such,challenge
for,there,506.17,camera,8.951,culture,technology
away,century,608.26,move,6.413,garden,standard
five,air,941.08,although,5.608,reflect,reach
enjoy,about,425.44,yourself,6.088,pull,sister
senior,piece,818.45,often,6.278,east,water
few,east,228.23,special,2.981,through,animal
foreign,end,285.71,study,6.044,because,grow
actually,group,5.14,knowledge,4.28,cup,occur
time,two,614.39,least,3.698,present,different
continue,production,959.45,place,3.831,allow,as
including,surface,426.64,change,1.839,hundred,majority
stand,ago,53.22,force,0.33,quickly,agent
use,music,815.31,meet,3.592,likely,point
bag,business,652.02,fight,2.818,church,democratic
sure,particular,798.34,attention,8.844,story,information
ball,final,317.49,try,6.117,western,religious
task,security,870.58,beyond,2.682,note,beat
per,available,117.74,key,3.314,again,son
guess,bag,726.64,in,4.321,tough,institution
always,consumer,467.64,voice,0.95,significant,record
inside,fight,254.09,room,9.942,civil,company
senior,option,43.18,teacher,7.22,anyone,list
last,you,101.45,fine,7.662,billion,behind
meet,nature,20.59,when,2.435,hope,anything
trade,those,16.46,tell,6.016,threat,discuss
fear,course,831.57,become,7.628,else,drug
indicate,various,257.04,today,7.922,computer,year
door,across,644.09,imagine,1.335,value,research
sing,when,136.46,operation,9.47,listen,win
as,set,519.56,tree,8.586,someone,why
they,relate,721.82,understand,9.159,measure,suddenly
inside,voice,636.02,want,1.043,occur,put
teach,represent,219.12,development,3.058,pay,standard
send,check,16.32,foot,8.172,reason,record
nearly,local,274.54,once,9.615,issue,production
team,now,242.28,specific,2.239,weight,participant
actually,environmental,171.32,fill,2.809,kid,season
law,law,487.02,team,9.064,identify,practice
lot,force,307.01,resource,7.13,information,very
far,foot,993.14,rather,4.034,son,day
PM,simply,419.18,everybody,3.637,Republican,his
the,enjoy,171.08,office,1.252,attorney,television
cold,may,916.15,cause,7.892,tonight,consider
different,suddenly,655.38,he,6.139,either,several
population,check,264.0,face,3.916,per,account
form,attack,166.73,travel,7.277,them,we
same,fill,875.54,test,3.099,meet,result
environment,board,584.1,month,8.012,training,design
special,point,82.37,out,6.072,miss,author
maintain,age,150.64,inside,4.937,bank,until
dinner,peace,720.96,build,5.263,none,option
actually,common,462.95,arm,6.692,fight,tend
list,decision,745.02,agreement,5.072,window,the
break,reach,33.23,fear,3.265,movie,expert
information,girl,400.01,positive,5.725,imagine,sell
town,finally,378.06,answer,6.019,view,smile
hot,star,203.81,north,4.13,full,action
whole,two,317.84,firm,7.204,in,future
industry,seat,606.28,according,5.053,through,bill
eat,professional,484.89,few,6.485,scientist,item
story,stage,321.61,our,3.91,discuss,back
strong,fill,973.91,condition,5.967,more,ground
author,citizen,399.54,shake,5.886,feel,describe
program,push,335.86,firm,1.209,add,top
raise,world,350.3,rich,0.282,but,single
door,beautiful,896.75,president,6.212,enjoy,quality
walk,present,359.67,care,7.471,service,building
into,water,66.36,film,4.714,include,finish
beat,democratic,726.45,thank,2.564,think,ok
else,scientist,373.83,structure,3.186,best,agree
book,each,868.68,single,4.035,generation,perhaps
something,skill,473.64,tonight,7.008,common,on
but,save,159.57,brother,6.104,late,save
risk,enough,57.74,get,7.016,fall,between
above,someone,772.51,race,2.183,wait,rest
decision,movement,164.27,foreign,0.339,conference,society
voice,property,621.53,daughter,7.919,yet,new
instead,political,7.71,recognize,9.705,four,late
along,thank,548.2,also,4.49,thought,guy
kind,by,366.87,religious,9.268,first,whom
agent,hour,271.98,to,2.916,her,color
want,wish,162.39,news,8.23,question,plan
them,scientist,255.23,carry,4.042,in,could
population,contain,40.15,cell,7.778,piece,key
experience,win,255.06,serve,8.576,president,other
bring,detail,260.39,could,9.57,part,list
very,lawyer,108.97,boy,4.384,inside,environmental
age,despite,326.95,reflect,6.526,race,better
through,consider,947.55,across,2.839,art,blue
hot,necessary,270.37,carry,8.225,reason,ever
audience,up,36.56,writer,3.239,miss,operation
news,take,418.47,I,2.39,spring,head
impact,billion,480.32,different,8.805,deal,discover
news,represent,141.01,later,8.858,spring,gun
choice,hundred,411.53,course,0.416,very,then
member,college,233.27,determine,7.629,decide,thousand
rich,ahead,183.24,three,1.794,various,since
development,figure,71.44,run,8.419,game,then
book,read,356.06,performance,2.634,plant,decision
eat,top,47.65,statement,7.572,success,late
military,care,276.96,environment,3.902,direction,nature
common,court,377.08,song,5.114,investment,reflect
beat,ask,835.27,difference,6.917,individual,his
camera,would,898.64,window,1.156,sometimes,require
white,add,473.53,wife,8.112,most,million
leave,still,137.79,actually,1.985,air,you
deep,mission,444.21,power,4.194,rise,your
some,board,656.28,national,4.544,gas,lose
although,item,611.06,among,4.653,away,bank
go,skill,231.41,old,4.588,draw,student
two,yes,111.0,employee,5.588,discover,interest
about,citizen,968.5,player,5.07,dream,amount
point,law,957.55,attention,9.906,list,national
it,public,346.71,short,3.748,animal,painting
design,trip,50.52,billion,2.763,lay,kitchen
him,card,230.14,building,5.217,religious,go
seven,why,876.77,stay,2.41,east,condition
energy,life,867.06,talk,8.45,firm,him
over,issue,678.62,hard,3.142,surface,sing
indicate,eat,805.65,ball,4.208,discuss,offer
present,nation,480.07,among,7.359,wrong,party
class,mean,945.44,several,8.765,pass,own
condition,most,540.58,record,3.515,road,tend
choose,want,523.0,bring,9.051,agreement,manage
hear,may,357.91,near,4.422,head,seven
born,order,573.1,mind,0.753,onto,purpose
why,social,31.91,safe,3.287,medical,onto
enough,meet,506.92,other,9.555,food,once
member,onto,101.79,general,4.279,our,character
claim,attention,996.46,key,0.568,class,letter
season,defense,484.81,course,2.894,boy,under
remain,specific,231.2,door,1.315,change,smile
event,kitchen,113.12,scene,9.202,enough,and
order,culture,972.53,evidence,5.913,yes,push
face,letter,20.43,mention,5.878,food,result
put,reveal,234.76,action,5.818,popular,meet
church,food,654.42,majority,8.504,accept,instead
risk,bank,847.45,hard,7.993,resource,personal
include,newspaper,60.85,performance,0.658,these,away
anyone,body,458.36,them,6.294,big,break
brother,positive,741.89,manager,9.538,team,catch
buy,there,857.22,safe,0.985,memory,language
with,reason,773.54,special,2.519,none,to
present,western,591.08,security,9.212,but,effort
rate,plant,19.21,bar,2.296,value,challenge
people,when,934.21,lot,8.447,law,find
hard,economic,403.64,speech,9.556,six,hair
president,could,657.01,similar,0.794,moment,or
drug,sport,158.61,decision,6.623,camera,soon
seven,size,437.62,long,9.918,board,remember
let,eight,566.38,traditional,9.429,loss,level
institution,act,137.79,education,7.501,how,wall
worry,need,761.91,political,6.468,little,build
beyond,well,196.17,party,2.724,floor,improve
I,boy,109.38,when,8.993,worry,civil
improve,million,405.86,sport,8.133,full,professor
matter,vote,893.29,total,1.952,figure,develop
already,outside,547.03,mission,6.21,begin,that
must,face,301.48,speech,0.258,moment,course
such,house,763.96,yet,0.599,final,professor
business,sing,203.2,today,2.621,industry,three
start,activity,482.69,off,3.778,eight,particularly
reduce,else,985.14,open,6.995,we,wonder
party,center,231.51,single,6.885,hand,fund
face,stuff,855.38,simply,4.177,break,part
community,degree,761.53,president,2.113,contain,knowledge
million,increase,247.47,item,2.031,none,four
society,boy,624.27,gun,7.36,better,blue
dog,business,357.78,performance,3.166,his,individual
must,look,267.28,pull,4.239,research,hot
decision,baby,680.54,lead,1.211,catch,perform
forward,coach,517.14,her,7.836,couple,activity
head,customer,872.39,collection,0.915,former,suddenly
gas,nearly,363.59,necessary,5.806,between,especially
lay,discuss,922.08,voice,2.664,trip,detail
page,media,722.38,get,5.249,history,figure
vote,relationship,615.78,well,5.532,police,feel
anyone,nor,394.77,sure,9.868,perform,cause
do,small,530.24,people,2.454,three,firm
morning,card,358.1,behind,9.406,material,program
body,either,115.51,discussion,7.925,into,image
project,yard,862.01,physical,6.33,certainly,thank
level,account,936.51,huge,2.45,south,we
entire,thought,223.18,thought,2.13,mention,attack
language,act,6.52,two,7.606,a,happy
it,newspaper,154.1,exist,0.482,how,history
system,type,474.78,write,0.853,apply,wait
hot,choice,489.83,major,9.656,arrive,most
born,city,269.53,matter,2.214,allow,live
quite,early,685.51,read,5.985,mouth,quality
structure,you,44.55,benefit,3.396,end,again
fact,budget,969.65,decision,4.417,interest,adult
blue,particularly,542.07,explain,4.188,find,art
success,newspaper,871.52,adult,0.906,care,vote
decision,act,735.37,him,1.794,work,me
office,moment,772.59,attention,8.319,forget,him
term,nice,483.24,history,4.218,animal,quickly
learn,say,765.74,military,2.679,pattern,doctor
change,rate,6.19,although,3.725,message,try
last,half,651.12,news,6.446,forget,at
voice,can,242.66,star,4.448,really,how
industry,whatever,523.16,during,6.933,wide,visit
owner,traditional,846.72,state,0.207,fear,gas
dog,phone,291.23,dog,4.493,success,hit
senior,wife,821.59,level,1.493,experience,price
fight,also,780.31,even,6.822,audience,specific
medical,resource,860.84,everyone,2.735,everything,another
home,still,784.86,development,1.901,college,trip
girl,outside,839.65,mother,5.916,quite,professor
yourself,now,53.6,firm,9.354,party,their
no,who,592.83,raise,7.618,family,speak
smile,standard,820.45,billion,6.996,check,us
some,level,7.62,son,3.262,care,stand
see,expert,475.55,difficult,7.912,real,analysis
style,Mr,225.26,camera,3.385,within,international
five,rest,638.38,professor,0.599,she,hear
charge,matter,336.88,fear,5.727,technology,stuff
young,reason,366.35,until,9.54,behavior,school
risk,per,369.96,section,8.335,tree,song
day,possible,530.2,ahead,9.561,much,strong
product,administration,519.62,increase,5.499,deal,before
remember,crime,113.8,magazine,1.217,opportunity,western
north,north,372.62,traditional,3.88,issue,wife
ball,network,332.64,drive,5.947,safe,tax
sea,college,257.63,black,4.362,career,difference
remember,drug,733.35,these,1.989,ago,thus
but,paper,934.45,wrong,1.38,no,great
trouble,away,958.66,heavy,9.502,nature,another
through,dream,344.36,be,5.8,yet,general
hit,huge,794.16,other,8.959,lose,group
identify,nor,221.59,bag,0.372,card,page
yourself,large,765.46,them,1.548,interest,on
cup,side,521.17,design,5.573,ball,feeling
suffer,success,370.74,cultural,4.834,speak,why
success,music,474.31,area,2.193,skill,bring
charge,garden,440.97,check,8.766,report,up
do,street,910.64,father,7.259,back,husband
assume,thousand,938.92,present,3.155,because,social
single,whom,284.84,box,8.51,bank,card
political,occur,475.9,force,2.158,get,wear
series,current,722.84,Mrs,7.635,or,after
detail,according,637.31,street,8.963,statement,religious
skin,bit,958.69,spend,0.543,just,instead
since,cup,223.44,necessary,2.368,matter,then
treatment,true,459.69,family,0.553,name,one
take,easy,334.61,note,6.783,floor,surface
society,step,803.15,material,8.845,include,board
cause,lawyer,260.46,coach,3.158,claim,seven
Republican,security,231.65,attention,5.837,thousand,boy
group,card,120.13,attorney,9.786,say,establish
station,fall,280.53,southern,3.883,leave,across
son,statement,48.63,list,4.885,past,impact
customer,free,536.07,someone,1.745,per,per
notice,stock,204.16,owner,2.586,during,last
note,natural,542.66,word,7.088,effort,tree
huge,participant,482.35,but,4.695,country,traditional
party,serious,16.72,move,6.378,before,no
final,certainly,724.74,shake,6.595,worry,maybe
bank,budget,285.84,little,4.778,local,message
choose,its,340.62,however,3.04,see,finish
employee,word,853.3,tonight,4.038,training,likely
the,travel,870.33,trial,3.27,you,around
occur,again,892.34,within,9.111,sure,perform
conference,college,626.7,discuss,5.142,cover,itself
admit,it,37.56,onto,0.477,land,professor
range,agreement,173.02,available,6.487,ability,pull
budget,site,540.17,there,8.428,hear,this
nation,should,316.9,home,3.05,figure,rule
both,thus,6.87,find,3.109,significant,significant
everybody,cell,265.47,watch,9.365,fear,long
according,eat,217.26,dream,5.345,admit,sure
staff,line,201.49,tell,1.086,relationship,term
his,know,925.81,responsibility,8.357,car,drive
would,big,570.94,radio,6.72,shoulder,probably
middle,cell,974.13,education,1.048,agreement,west
our,personal,542.79,property,6.584,city,note
tonight,seem,891.19,today,5.322,they,else
necessary,trial,676.86,lawyer,9.783,rather,pay
money,gas,453.62,decide,3.896,believe,only
executive,lawyer,667.0,if,8.01,low,always
do,up,149.43,pattern,0.308,president,his
total,between,63.87,short,8.351,themselves,any
yet,star,89.31,control,0.276,knowledge,foreign
through,option,193.47,must,6.773,industry,understand
purpose,girl,830.07,month,3.772,if,reduce
item,by,426.55,successful,6.802,fire,recognize
force,still,886.98,hear,5.379,line,several
draw,word,788.56,body,5.606,paper,career
age,through,774.9,need,6.787,establish,difference
least,deal,441.94,cell,1.245,well,speak
goal,last,412.88,do,0.151,hotel,rest
artist,raise,251.99,debate,2.186,conference,continue
until,still,735.3,event,5.235,yourself,capital
skin,evening,541.85,attack,1.017,by,discover
mention,Mrs,898.39,church,4.326,just,bar
wonder,citizen,793.77,point,4.126,after,think
leader,heart,171.34,analysis,8.039,item,of
wind,cultural,984.51,item,0.501,eat,mean
actually,film,175.27,network,5.028,alone,art
professional,together,230.23,step,6.086,sit,provide
improve,television,621.59,part,0.731,third,event
from,rock,665.1,raise,8.329,become,their
want,rather,959.96,I,8.539,get,street
art,base,170.35,manager,0.614,purpose,international
on,condition,251.03,use,7.395,sure,rather
city,candidate,873.02,authority,7.337,after,probably
itself,happen,67.46,worker,1.54,today,manager
develop,show,863.39,respond,2.295,successful,people
sure,fund,410.74,exactly,7.451,scene,play
kid,apply,510.69,senior,4.254,place,green
run,business,721.87,soldier,5.933,blood,civil
why,assume,857.43,near,3.343,in,international
whose,safe,597.18,short,9.749,detail,our
seem,model,278.56,perhaps,5.426,study,yourself
street,require,616.59,great,0.438,analysis,physical
song,late,976.17,garden,9.682,easy,history
sort,administration,487.74,real,0.477,foreign,certain
over,exactly,695.43,role,8.621,poor,city
career,student,980.4,section,7.673,call,pass
college,test,185.62,ask,0.928,although,arm
identify,professor,340.06,certain,7.112,involve,responsibility
should,garden,150.07,run,0.897,trial,race
describe,the,826.16,lead,9.095,street,game
back,animal,734.81,cut,9.154,may,west
Democrat,hit,313.16,production,2.238,least,open
assume,but,948.05,political,5.919,seek,increase
sign,low,929.48,individual,5.446,leave,all
personal,indicate,892.19,wife,6.721,near,whether
discuss,season,258.36,magazine,3.573,learn,student
more,often,844.06,town,5.819,season,short
different,attention,881.3,red,1.14,call,hotel
economic,court,893.04,lose,2.944,top,hear
professor,author,32.26,girl,5.037,hundred,no
technology,herself,863.12,population,5.464,check,course
reach,gun,905.11,enough,6.713,effort,country
away,month,541.43,beyond,9.356,determine,involve
theory,than,818.6,else,7.155,situation,lay
everything,century,310.23,listen,5.6,a,information
use,speech,550.24,fast,5.316,year,customer
ask,school,2.86,most,9.891,student,gun
worry,light,931.16,draw,1.46,product,personal
dog,operation,701.28,senior,2.205,pay,job
opportunity,I,802.97,me,1.656,foot,thousand
cup,raise,324.2,me,1.767,spring,suffer
network,technology,506.48,firm,4.899,here,report
above,campaign,51.97,rather,7.997,week,near
him,land,211.96,game,2.739,foot,develop
everyone,least,793.46,arrive,1.786,second,loss
alone,someone,389.22,peace,9.299,very,put
early,today,463.14,since,3.196,vote,yet
if,yeah,929.15,rock,6.342,put,recent
they,year,200.04,much,7.104,clearly,shake
accept,meeting,533.46,author,4.216,five,indeed
worker,general,919.04,third,1.247,with,action
city,discover,76.58,campaign,1.573,attack,economy
decade,new,292.56,life,9.518,least,economy
choose,several,607.03,under,6.545,hospital,ahead
final,thank,995.0,investment,9.116,huge,similar
first,ability,824.11,cold,1.657,wonder,song
add,national,668.92,account,8.412,their,daughter
great,own,207.53,address,6.113,service,camera
hear,have,757.52,catch,2.652,short,great
mission,shoulder,856.33,your,5.249,decision,year
police,practice,774.58,cover,9.924,perhaps,have
memory,about,17.93,rule,6.682,race,tax
should,say,477.48,away,6.028,your,enter
its,meet,477.13,hit,7.836,artist,cell
name,center,700.57,without,1.236,moment,outside
by,most,163.03,tree,8.615,while,property
consumer,color,218.6,walk,7.997,strategy,necessary
occur,decade,120.68,black,4.291,somebody,religious
yeah,people,87.86,full,3.239,through,writer
second,lawyer,666.1,management,3.878,my,just
once,happen,964.25,past,8.117,control,do
outside,anything,199.41,think,0.776,either,teacher
some,court,134.56,if,1.956,wife,degree
charge,consider,856.28,skill,0.774,water,total
stage,either,340.41,price,7.244,main,trade
beautiful,modern,532.59,could,6.394,sure,close
decade,activity,520.28,same,2.814,girl,also
interest,continue,978.04,education,2.144,you,win
full,include,246.1,fight,9.734,evidence,never
term,south,653.31,free,9.008,especially,sort
conference,technology,317.93,send,1.393,at,thing
my,certain,393.05,human,3.891,year,discussion
play,record,391.55,since,2.063,society,table
night,campaign,663.16,day,0.124,become,new
meet,remember,928.92,order,7.842,plant,minute
worker,energy,353.26,it,3.427,value,example
environmental,American,234.4,foreign,1.175,item,west
seek,I,752.48,individual,8.32,whom,thus
however,research,723.23,speech,9.031,reveal,much
test,heavy,750.8,so,5.464,until,major
western,now,625.74,performance,3.964,civil,recent
ten,language,285.5,my,3.722,open,grow
record,once,325.35,police,9.328,indicate,modern
case,which,186.81,know,1.008,majority,professor
here,perhaps,558.73,kid,8.452,throughout,hope
near,consumer,164.65,ten,5.861,image,news
five,result,361.49,weight,0.786,song,bag
help,successful,400.81,interest,3.34,carry,community
fund,building,858.17,tell,5.277,program,player
tree,health,548.51,international,5.941,skin,alone
condition,help,233.24,rich,9.855,reduce,forward
raise,I,495.02,nor,3.906,politics,during
analysis,help,595.84,group,0.356,officer,window
scene,son,315.82,around,3.673,week,leave
beat,although,255.43,partner,3.281,buy,still
federal,resource,621.32,anyone,9.413,within,real
most,worry,107.62,audience,5.938,fast,group
after,a,218.44,someone,3.308,animal,environmental
expect,significant,918.03,red,0.643,space,commercial
reflect,present,694.68,weight,3.295,should,western
party,official,285.91,eight,9.599,establish,camera
ask,finally,357.88,space,8.919,audience,exactly
loss,court,308.7,force,5.801,knowledge,time
expert,resource,702.96,activity,0.908,later,however
life,become,711.4,visit,1.56,open,four
half,how,931.09,develop,0.31,enter,better
push,international,808.18,throughout,1.085,other,could
tonight,instead,419.95,care,6.159,friend,surface
item,attention,929.26,policy,1.689,available,western
often,early,602.83,happen,5.417,reflect,sport
through,religious,155.61,forward,4.919,share,fall
page,group,927.32,direction,1.926,set,same
fine,tough,129.18,apply,6.432,within,dinner
majority,fund,261.35,reason,5.078,Congress,rate
of,street,127.94,analysis,9.69,decade,citizen
describe,letter,438.11,ready,0.921,again,specific
glass,more,857.35,child,9.358,soldier,under
open,side,303.09,industry,5.558,less,toward
current,computer,553.27,pattern,1.304,suggest,yet
something,three,808.09,action,9.819,should,scientist
scene,economy,766.6,brother,7.086,student,check
family,rise,585.24,Congress,7.755,her,smile
here,gas,159.87,large,0.469,data,section
individual,mention,633.53,them,1.716,work,red
entire,always,23.58,foot,7.491,man,employee
inside,just,296.0,region,9.022,past,attack
under,establish,610.57,reality,2.686,call,can
player,determine,522.79,interview,2.708,word,test
today,who,453.25,clearly,7.317,term,now
leg,child,910.9,stop,3.49,generation,fast
anyone,simply,825.12,tell,5.012,institution,continue
attack,certain,992.6,behavior,3.589,difference,perform
tend,national,262.8,our,7.069,couple,quality
race,sense,770.12,direction,7.447,stand,doctor
executive,available,66.39,newspaper,7.445,PM,indeed
her,of,206.72,world,2.404,him,science
manager,great,899.72,senior,8.521,others,organization
wall,big,644.33,off,3.021,stage,leader
property,skin,841.27,report,2.598,message,chance
create,loss,52.87,forget,2.583,recent,whom
speech,what,426.38,area,2.078,hope,local
role,dream,227.45,next,3.701,fish,might
behavior,finally,214.62,science,6.345,quite,we
bank,member,469.92,eat,2.554,its,question
citizen,several,308.73,that,3.271,return,check
level,view,953.94,effort,7.969,so,wind
page,entire,36.04,for,0.709,table,thing
view,know,572.23,final,3.04,often,window
program,forget,62.03,catch,3.515,thank,establish
production,during,745.02,explain,7.23,lose,later
animal,sister,435.19,follow,7.743,do,house
wind,ok,59.26,dark,3.414,spend,area
any,year,630.22,star,5.869,research,truth
yet,magazine,937.36,place,3.787,eight,hour
choose,of,501.8,happy,5.387,thank,political
make,member,271.74,share,8.929,behind,interesting
tree,half,152.39,source,5.055,player,mission
until,least,953.88,behavior,0.407,down,sit
life,magazine,626.27,country,4.666,senior,interview
school,agency,112.37,behind,6.984,class,house
light,century,994.67,inside,5.516,although,wide
shake,hit,657.62,very,9.103,reason,picture
behavior,away,414.63,great,7.592,necessary,make
future,feeling,486.04,discover,7.167,should,late
alone,issue,830.44,board,1.032,wind,why
treat,avoid,627.78,claim,7.772,computer,what
type,from,301.73,stock,3.371,book,rock
particularly,many,734.7,our,5.312,in,produce
fact,time,26.13,reach,6.891,child,soon
might,stock,422.39,officer,7.242,generation,building
suffer,somebody,931.16,season,3.841,dark,whole
white,smile,987.88,strategy,7.725,personal,for
act,word,599.85,have,1.055,language,career
Democrat,own,424.15,half,1.751,work,card
arrive,fish,534.54,other,9.041,economic,down
choose,pay,448.26,become,3.783,consumer,little
order,everyone,785.49,born,8.999,child,unit
never,experience,60.56,among,3.664,data,else
less,even,560.05,pretty,2.319,face,himself
firm,nice,984.86,bit,8.413,model,with
summer,indeed,285.54,blue,7.473,again,season
man,member,222.43,key,5.479,college,similar
daughter,tell,235.22,argue,3.071,bring,contain
state,involve,837.87,agreement,0.98,fire,success
who,close,798.12,work,6.257,tough,step
better,maintain,99.99,lose,8.382,media,cost
by,part,854.88,group,6.354,difference,exist
onto,eat,717.28,just,5.806,hold,stay
him,weight,529.43,might,6.445,some,coach
around,central,657.42,establish,9.888,south,better
security,animal,295.02,room,1.929,building,wide
decide,scientist,571.62,quite,6.025,student,operation
media,need,355.76,home,3.688,no,state
four,thousand,787.39,different,3.197,forward,fast
enough,happen,627.08,perhaps,7.47,simple,level
begin,simple,742.21,share,0.403,away,glass
risk,far,304.87,present,3.667,Congress,collection
past,approach,908.82,rule,3.071,fire,itself
put,up,8.55,nature,6.819,decade,growth
role,debate,215.18,realize,7.131,spring,material
natural,Mrs,115.12,hit,7.42,side,quickly
miss,section,446.55,green,2.338,western,fund
drive,again,876.62,law,5.914,hear,recognize
term,music,868.51,fire,9.39,impact,brother
first,nice,582.83,source,6.702,security,open
security,majority,289.76,compare,4.892,clear,wish
participant,already,765.64,religious,4.698,college,for
by,throughout,617.66,hot,3.602,fall,memory
almost,determine,935.15,trip,7.863,especially,provide
economic,significant,121.62,similar,6.526,seven,treatment
first,shoulder,470.71,assume,8.087,task,someone
can,home,396.94,else,6.949,nation,site
step,baby,366.05,race,5.324,myself,less
total,down,853.24,guy,3.59,something,attorney
despite,bed,651.62,quality,7.623,whole,personal
offer,manage,265.94,remember,5.869,energy,imagine
play,tonight,975.71,usually,8.889,fill,security
significant,per,537.9,painting,2.529,see,either
believe,meeting,629.28,college,9.649,investment,degree
full,return,834.56,go,1.67,together,reduce
he,central,679.48,range,9.402,but,evidence
worry,where,511.72,difficult,4.065,nature,today
girl,wall,241.73,one,1.326,question,system
drop,garden,197.99,by,2.828,tough,agency
doctor,guy,18.59,yeah,5.66,responsibility,material
establish,meet,79.93,section,0.837,girl,information
brother,current,242.83,change,5.457,almost,power
color,Mrs,305.09,drug,1.036,whose,win
street,plan,307.6,dream,1.569,provide,paper
note,career,539.25,feeling,6.702,thing,day
true,put,561.89,analysis,9.207,pick,hear
room,capital,381.95,suddenly,7.161,him,small
agree,church,821.49,more,3.109,factor,adult
occur,effect,345.1,spend,6.472,television,maintain
modern,run,372.36,offer,2.6,several,sort
will,buy,619.87,work,9.626,magazine,ten
finally,those,561.49,law,3.0,deep,especially
both,example,131.15,home,3.514,activity,strategy
over,enjoy,562.16,hope,8.551,mission,move
current,rise,999.63,away,0.199,suddenly,industry
today,foreign,898.17,right,8.86,argue,want
rather,newspaper,411.71,argue,4.706,fund,join
board,father,142.92,fund,6.04,improve,rise
but,explain,278.3,at,5.503,should,structure
event,worry,704.42,officer,6.384,everybody,thing
politics,health,545.02,nature,5.865,hundred,responsibility
scientist,if,517.84,necessary,7.268,before,guy
laugh,cost,611.03,board,1.07,mention,particular
like,measure,309.67,section,1.463,back,take
short,common,610.84,building,6.985,fast,lose
he,newspaper,892.46,push,6.273,reach,some
well,cause,812.69,employee,3.199,hair,paper
method,well,414.24,in,8.647,pick,medical
part,tree,596.91,last,5.659,person,mention
star,smile,231.88,floor,6.459,ground,outside
level,face,395.75,direction,4.928,rule,inside
want,yard,787.22,image,0.148,into,phone
state,impact,724.03,night,6.732,treatment,first
art,she,388.68,degree,5.097,mother,entire
natural,suffer,828.56,role,3.024,interesting,yeah
authority,fire,948.25,fill,6.201,word,tell
event,blood,58.97,reflect,2.185,her,particularly
air,through,364.99,could,0.536,class,indeed
allow,them,190.73,however,5.079,stand,center
cold,southern,78.51,fear,7.491,operation,oil
sound,land,537.09,although,2.82,situation,current
arm,model,646.01,future,3.714,into,Republican
key,knowledge,515.22,community,6.315,as,peace
relate,TV,285.99,area,5.376,person,write
edge,see,510.82,you,2.354,option,American
quality,child,413.28,foreign,6.651,rise,interview
may,option,903.0,determine,9.171,important,produce
seem,will,251.94,difficult,2.011,herself,feeling
them,life,73.91,data,1.246,generation,establish
usually,different,111.59,direction,9.283,lot,choice
build,security,259.25,race,8.365,into,cut
cut,produce,455.24,arm,2.088,song,nice
agree,want,206.59,everything,5.156,phone,stand
coach,rate,753.31,writer,6.8,level,structure
impact,military,473.96,arrive,2.473,talk,drive
Mrs,mean,24.25,price,9.727,memory,another
other,discuss,599.95,never,3.119,person,past
design,election,641.81,true,7.397,beat,their
idea,different,359.86,detail,9.453,hard,top
serve,effort,472.02,bag,4.787,their,forward
check,job,631.4,during,1.196,able,cut
investment,voice,940.57,commercial,5.471,debate,trouble
fine,four,884.65,day,9.675,people,government
music,tend,725.5,speech,6.922,many,still
blue,program,989.72,care,5.783,financial,game
dark,no,655.75,participant,1.311,dog,participant
international,win,822.8,project,2.013,process,fill
skill,network,729.52,theory,8.152,education,member
seat,less,542.39,citizen,5.452,military,summer
dream,maybe,577.21,card,0.968,cup,glass
article,free,594.55,ahead,5.009,employee,minute
health,argue,215.24,game,0.376,whole,international
out,response,143.28,continue,2.576,simple,enough
heart,window,937.46,attorney,8.17,again,party
meet,design,342.54,almost,9.663,require,after
power,blue,209.2,age,0.379,do,member
fight,quality,299.01,song,7.415,opportunity,college
concern,as,333.09,movement,5.809,it,go
bad,sort,443.72,top,9.77,state,huge
sense,enter,890.94,company,9.314,investment,thought
shake,hear,970.94,factor,4.427,tough,learn
least,fight,614.95,president,4.995,reason,degree
middle,nor,477.45,picture,7.749,hand,minute
manager,space,838.86,may,3.771,day,truth
popular,hot,793.79,similar,3.848,size,would
about,here,829.84,structure,3.51,dark,care
inside,history,355.75,stuff,8.094,pull,soldier
interest,describe,213.71,west,8.718,we,wall
represent,soldier,745.06,yet,6.139,its,bar
system,sport,598.96,citizen,6.964,government,person
college,according,589.04,finally,7.702,expect,serve
street,discussion,565.22,end,8.397,become,full
bag,decide,473.4,benefit,3.199,approach,about
base,drug,129.32,there,9.255,best,director
create,set,570.87,thought,8.294,themselves,present
entire,scientist,248.62,reveal,2.939,this,growth
choose,life,609.74,nothing,0.164,south,group
customer,direction,759.98,that,5.487,town,report
PM,store,238.7,dream,9.476,model,business
public,few,366.4,price,6.856,various,occur
coach,financial,768.73,treatment,3.735,much,design
senior,this,72.38,arm,7.241,ready,loss
choose,piece,113.5,ever,2.536,call,station
expect,social,745.67,drive,8.868,not,court
student,result,836.34,west,4.684,people,enjoy
way,small,375.49,stand,1.348,black,her
although,eat,757.96,attack,6.567,notice,former
attention,law,152.46,and,0.523,last,draw
result,audience,869.36,number,9.681,beautiful,east
clear,door,815.43,around,9.634,dark,door
