refkey1,refdata1,refkey2,refdata2,refdata3,refdata4
Republican,particular,happen,our,happy,820.97
computer,bar,result,away,hotel,855.02
human,create,scientist,unit,research,111.05
face,although,career,case,among,98.78
our,around,without,less,ten,266.57
option,season,brother,kid,suggest,787.96
charge,site,rich,time,training,643.2
center,quickly,rule,test,dinner,199.28
take,key,control,anything,collection,419.18
page,lose,expert,color,half,62.1
work,impact,red,wait,cup,275.47
similar,open,mouth,white,professor,293.15
shoulder,during,next,might,radio,703.49
street,operation,ten,kind,win,658.48
yes,later,those,around,actually,193.28
finally,her,many,side,when,116.48
response,buy,end,community,important,703.58
manage,voice,reality,matter,job,339.28
true,by,risk,home,player,24.97
ground,road,outside,wrong,rise,800.19
herself,part,whom,idea,low,103.13
company,country,wait,sometimes,get,930.33
little,leave,really,present,read,815.31
ten,condition,site,hot,position,126.72
heart,some,pattern,professor,just,840.46
win,vote,box,art,property,579.73
for,bed,traditional,huge,education,538.79
group,say,across,then,two,534.21
within,sure,dinner,better,window,522.46
story,which,Mrs,computer,cut,329.34
grow,boy,probably,involve,with,211.7
anyone,exactly,call,sense,raise,397.2
and,wide,culture,hard,property,554.12
within,often,night,people,even,805.06
establish,north,detail,become,coach,352.84
PM,while,what,meet,adult,481.77
difficult,perhaps,herself,pull,office,839.81
something,reflect,page,fear,threat,71.06
hand,less,moment,throughout,woman,476.07
piece,pick,movement,risk,vote,552.37
toward,his,final,answer,chair,45.31
pay,reflect,stage,gas,second,34.36
as,career,scene,budget,million,250.39
fear,dream,find,prevent,painting,803.56
finish,building,commercial,anything,develop,602.35
attack,style,avoid,it,create,510.43
big,situation,mind,decade,social,834.06
name,expect,recent,beyond,military,653.4
allow,treatment,record,deal,than,63.79
his,kitchen,little,nothing,production,306.81
keep,others,PM,receive,loss,52.84
born,hotel,his,price,night,701.75
true,job,for,religious,own,274.44
daughter,under,father,friend,hour,237.43
news,there,various,quality,just,701.18
cell,throw,officer,her,any,567.15
almost,plan,coach,pull,coach,934.85
watch,public,foot,represent,have,315.04
my,commercial,event,late,improve,610.29
might,impact,take,top,glass,621.3
beyond,open,clear,finally,on,926.76
these,list,well,my,teacher,194.16
industry,smile,fact,news,fight,427.97
return,material,audience,major,environment,61.54
too,marriage,must,close,whom,958.21
sometimes,bar,Mrs,full,item,998.39
bit,girl,guess,citizen,involve,385.49
than,account,treat,front,course,647.82
effort,case,activity,play,treat,512.84
nearly,return,have,Mr,approach,475.0
without,Republican,challenge,high,recently,400.52
itself,street,difference,practice,set,407.12
many,anything,time,phone,treatment,4.72
mother,quickly,ago,development,right,863.84
small,black,appear,agency,stop,862.69
together,mother,condition,control,charge,55.62
movie,economy,federal,wall,look,130.78
political,above,step,describe,large,802.24
anything,medical,themselves,range,among,837.99
tax,magazine,final,might,Mr,957.75
same,sometimes,possible,type,affect,257.59
police,dream,too,north,wind,239.05
just,knowledge,receive,some,quite,497.75
stock,decision,live,key,major,890.01
degree,unit,effect,rise,news,262.33
wife,too,possible,growth,training,423.59
seek,front,father,standard,either,125.45
together,level,treatment,poor,fly,394.43
girl,thousand,card,may,third,890.83
forget,play,born,have,who,624.72
build,sing,show,too,oil,205.11
enough,imagine,military,trip,determine,934.64
budget,shake,large,get,strategy,778.75
trade,deep,rest,control,evening,283.16
nation,increase,coach,rich,year,139.48
onto,huge,again,down,word,693.53
book,hear,fast,reflect,something,753.28
special,whose,attorney,want,leader,614.71
several,receive,author,language,safe,940.48
attack,finish,example,ever,company,222.89
health,prevent,open,already,fill,988.17
blood,service,close,control,traditional,926.48
friend,break,nation,beautiful,student,947.31
player,people,represent,beautiful,happy,999.6
big,expert,identify,human,both,508.21
nothing,save,production,art,doctor,369.63
official,music,consumer,fund,several,665.61
recognize,development,college,director,southern,820.0
face,base,operation,peace,impact,822.56
real,great,paper,spend,hot,292.74
way,television,pretty,minute,admit,330.52
option,leg,could,short,her,350.88
then,player,source,own,thank,959.94
lose,picture,later,long,support,578.52
piece,discussion,economy,hear,including,164.29
TV,according,party,though,measure,515.15
few,action,magazine,one,key,29.01
require,despite,other,cut,face,165.86
improve,personal,adult,own,focus,496.25
finish,fall,movie,plant,week,781.7
reality,side,participant,bit,lot,302.39
speak,force,why,girl,operation,644.24
protect,find,knowledge,recently,foreign,917.63
raise,bill,guess,blood,growth,458.61
term,with,against,type,action,723.7
piece,follow,key,four,perform,17.19
example,also,point,far,always,866.96
state,same,cultural,usually,pass,434.08
certainly,arm,company,nearly,nothing,325.71
dinner,thank,pay,similar,professor,192.71
hundred,actually,foot,source,open,206.78
our,prove,prepare,call,despite,959.59
south,age,bit,wide,foot,575.47
drive,hotel,year,so,energy,356.01
medical,paper,up,process,first,539.92
particular,visit,care,measure,course,354.32
technology,product,certainly,forward,lawyer,788.06
base,strong,case,special,court,131.8
worry,blue,Mr,issue,me,358.49
sometimes,down,history,might,hour,836.47
summer,just,explain,identify,share,518.78
pick,truth,medical,same,something,491.95
feel,hotel,than,organization,week,22.7
politics,campaign,myself,let,pick,546.38
soon,information,certainly,soldier,full,761.97
treatment,plant,feel,strategy,degree,752.72
understand,establish,maintain,show,agency,192.45
size,me,Mrs,human,look,561.76
long,we,eight,plant,heart,60.33
natural,hand,section,land,learn,453.68
notice,possible,scene,manage,hard,184.1
film,six,type,truth,enter,258.24
question,physical,plan,face,site,272.55
last,world,experience,lead,son,391.26
team,to,my,example,college,838.0
say,if,laugh,ok,begin,923.93
speech,kind,trial,term,late,421.65
executive,about,learn,likely,year,393.04
brother,candidate,tell,middle,sound,853.07
onto,new,star,think,candidate,524.37
continue,stay,best,most,language,324.02
peace,interesting,important,seem,choose,471.62
million,by,sit,enter,power,780.08
mother,science,use,show,letter,46.35
us,each,appear,military,item,886.23
change,magazine,learn,field,reality,677.07
least,occur,condition,small,outside,941.72
help,sure,away,north,another,958.94
speak,he,do,sport,scientist,196.99
beat,money,factor,movie,last,531.29
either,toward,candidate,garden,ground,11.28
road,both,tend,detail,policy,27.0
now,expert,decade,catch,hit,279.84
coach,style,operation,more,specific,156.6
need,color,artist,couple,community,398.79
natural,research,hand,send,break,413.64
public,religious,then,seek,current,281.56
discover,responsibility,interest,bit,human,563.9
another,least,yes,he,tax,808.57
offer,oil,scientist,bring,able,806.2
computer,improve,especially,economic,mention,65.33
possible,should,ask,manage,goal,755.94
player,miss,whatever,may,grow,62.68
card,prepare,notice,structure,fall,464.24
Republican,allow,TV,fight,strategy,343.39
likely,coach,court,Republican,production,927.71
let,office,color,five,view,595.46
wife,level,have,beautiful,appear,965.41
anything,middle,future,community,feel,305.46
staff,for,third,also,food,112.7
near,court,already,role,add,100.71
industry,day,three,history,firm,438.3
billion,management,security,financial,would,49.53
father,cup,character,general,article,459.36
style,morning,now,west,difficult,973.99
bag,seven,test,believe,authority,550.59
mention,stay,story,follow,share,227.64
or,manage,after,his,career,206.19
wrong,control,wrong,series,pay,744.85
dream,project,edge,success,nothing,825.45
course,inside,first,bag,how,964.23
begin,give,to,skill,through,333.4
company,win,their,phone,simply,130.72
place,study,hit,fight,stock,320.24
feeling,leg,every,bar,political,715.0
collection,task,agreement,ability,finish,499.96
especially,appear,laugh,property,tough,903.47
agree,time,role,rest,stop,879.21
anything,everybody,seat,reason,explain,613.14
capital,lot,professor,girl,thousand,107.5
federal,social,agreement,eye,society,453.67
past,project,than,few,price,53.03
woman,soldier,no,staff,physical,831.4
generation,in,wife,where,issue,854.45
who,believe,such,degree,change,888.4
conference,day,eye,audience,you,275.37
very,market,good,east,individual,439.69
staff,store,perhaps,kind,require,267.8
test,final,in,agent,drive,628.95
how,poor,impact,raise,success,556.51
far,whose,choice,political,senior,180.81
figure,be,dream,information,center,84.29
professional,peace,little,watch,pattern,352.37
let,student,exist,bag,school,320.81
determine,student,involve,race,want,675.9
short,around,great,executive,number,404.22
available,free,science,most,before,146.19
quality,speak,fund,begin,word,672.48
what,soon,hard,region,imagine,668.46
that,beat,despite,accept,change,915.32
probably,perhaps,always,where,over,435.26
study,field,on,city,long,671.17
past,include,gas,you,teach,776.98
region,often,fast,trip,this,186.79
fire,can,officer,form,away,908.02
civil,easy,medical,environment,point,199.1
conference,whatever,explain,reality,affect,825.17
trip,structure,detail,father,recognize,198.0
prove,student,smile,knowledge,yourself,337.74
investment,fall,artist,explain,less,644.79
sing,require,benefit,charge,record,973.92
hundred,level,no,past,talk,901.53
attorney,career,different,lose,ability,979.44
father,marriage,along,if,wear,185.7
clear,feel,trial,page,program,706.21
herself,born,blue,remember,million,770.68
whose,environmental,five,collection,idea,791.25
technology,treatment,need,leave,still,542.87
hard,nearly,build,western,claim,745.39
walk,admit,measure,the,prove,240.97
quickly,policy,quickly,together,to,903.01
doctor,election,either,involve,financial,401.56
side,news,professor,open,program,761.02
really,meeting,how,great,be,826.78
his,role,let,serious,rather,12.71
war,tree,sea,specific,great,46.89
leader,necessary,product,seat,leg,567.33
someone,break,why,four,past,638.77
card,data,win,believe,their,498.09
officer,time,artist,miss,project,44.61
sister,challenge,step,anything,season,818.54
factor,movie,beat,study,visit,826.45
peace,pay,realize,sea,least,634.13
bring,child,Mrs,personal,result,16.74
former,from,professional,piece,might,517.68
sort,choice,provide,manager,base,92.36
read,option,director,than,near,441.28
increase,bit,recently,which,song,260.11
candidate,help,girl,food,tree,308.76
center,its,time,network,attorney,515.73
cause,loss,that,forget,like,75.03
involve,concern,sense,more,attack,396.85
federal,trip,pretty,over,program,513.92
decade,every,some,young,car,554.13
sister,forward,investment,air,join,37.08
another,realize,others,choice,both,122.96
begin,difference,away,magazine,something,157.84
next,both,left,eight,necessary,921.96
two,focus,and,sit,peace,386.59
return,chair,necessary,billion,name,152.39
must,soldier,great,appear,artist,775.18
amount,lawyer,candidate,why,note,877.27
under,exist,cup,expert,recognize,741.6
back,often,crime,center,grow,395.97
box,try,value,too,follow,427.79
camera,yeah,chair,behavior,seek,572.06
so,set,sure,discuss,there,447.07
off,even,central,science,surface,386.9
particularly,system,end,PM,magazine,548.21
maintain,probably,reduce,force,night,644.3
record,focus,professor,you,because,463.14
scientist,money,partner,compare,society,420.64
cup,reason,pick,modern,within,588.16
near,lay,movie,our,beyond,754.33
trouble,store,design,people,strong,236.13
hospital,yes,method,environmental,along,100.07
build,according,so,guy,lead,957.71
however,table,attention,sense,full,529.59
campaign,his,black,cause,author,947.58
five,build,official,reveal,fire,969.61
program,put,stock,rise,reach,32.33
hair,together,among,cold,study,114.44
final,room,remember,scientist,firm,782.98
rather,blue,degree,hundred,wonder,991.76
effect,carry,reason,sit,up,756.86
item,PM,of,each,local,925.07
simply,read,seek,space,rise,625.19
article,north,picture,bed,offer,271.83
without,according,treatment,community,land,514.02
present,physical,yourself,order,wind,554.55
management,difference,interest,gas,land,263.93
story,recognize,join,present,how,881.49
it,interview,authority,until,study,611.43
one,popular,run,can,range,429.08
street,product,air,thousand,hope,926.45
value,can,kitchen,just,sing,817.73
between,assume,admit,story,consider,69.26
main,eat,production,worry,heavy,188.62
report,TV,up,defense,decide,70.49
wrong,issue,total,interest,standard,856.96
happy,attack,cell,area,lawyer,852.83
state,issue,leave,lay,sense,553.6
beyond,by,seat,fear,weight,342.17
health,forward,mission,become,ability,744.89
cup,kind,occur,whose,at,741.63
everyone,generation,maintain,serious,enjoy,114.17
wrong,station,one,coach,across,528.56
generation,around,five,present,send,896.52
and,process,team,deep,value,558.28
section,data,rest,strategy,something,76.27
myself,some,plant,five,step,994.38
care,day,vote,group,question,677.58
design,against,enter,interview,officer,773.1
factor,wife,wear,field,many,793.29
type,despite,seek,case,late,534.56
unit,strategy,number,defense,line,19.44
expect,car,option,same,bag,902.54
same,practice,grow,become,central,301.62
fine,nearly,several,gun,her,394.09
difficult,fall,others,page,own,512.61
father,just,majority,page,bit,393.06
institution,character,cell,agent,son,929.3
thought,marriage,general,sense,many,133.04
front,thing,any,recently,chair,939.15
else,according,east,reveal,north,39.2
try,group,should,number,indicate,900.87
experience,gas,green,official,little,241.15
real,citizen,financial,own,you,199.81
tough,brother,page,citizen,or,536.62
service,statement,red,direction,attack,902.6
nature,woman,likely,huge,computer,452.53
impact,appear,then,report,six,195.28
station,difference,leader,quality,modern,871.17
before,security,huge,democratic,particularly,450.49
service,question,building,evidence,owner,307.96
pick,according,kitchen,head,face,25.63
else,court,effort,expect,along,370.99
together,ahead,mind,animal,wife,513.82
ball,character,peace,million,total,518.98
movement,difficult,both,article,close,493.36
oil,thought,box,option,pass,882.11
say,field,necessary,control,street,927.83
activity,hit,later,build,apply,828.01
leader,low,certain,need,arm,65.51
strong,arrive,son,baby,church,806.12
issue,station,production,pay,best,961.18
professional,kind,expert,once,nature,709.05
wind,production,argue,look,culture,886.89
sense,animal,themselves,more,future,20.9
condition,forward,coach,much,degree,959.05
cost,institution,between,action,heart,364.86
international,draw,night,to,low,483.29
natural,night,or,main,movie,96.46
nice,case,allow,bring,and,545.67
garden,put,yes,receive,trial,299.63
issue,sea,situation,smile,tough,136.23
think,everyone,determine,community,role,539.63
affect,seem,by,those,approach,46.97
arm,include,out,man,teacher,664.77
picture,statement,operation,political,financial,937.2
right,natural,run,energy,population,164.04
bit,drug,bring,black,concern,196.42
born,each,organization,yeah,represent,269.59
among,best,effect,news,nice,718.41
night,dark,war,minute,drop,910.91
quickly,water,forget,fill,decade,939.08
administration,particularly,any,information,beat,618.34
their,increase,forward,authority,compare,471.88
identify,any,southern,think,worker,23.8
way,word,wall,term,plan,20.04
total,arrive,realize,allow,budget,303.21
physical,get,agreement,say,whatever,467.21
situation,pay,current,without,five,160.58
call,detail,pass,however,way,486.46
magazine,drug,property,fill,project,898.39
wrong,short,party,purpose,view,383.11
son,article,but,central,first,618.47
will,bit,system,expert,material,655.74
fear,run,activity,enjoy,paper,738.95
blue,lay,so,small,top,360.04
these,entire,away,professor,others,309.28
nor,remember,increase,politics,car,177.35
exactly,smile,speech,eye,fund,931.21
region,these,act,fast,win,249.74
ground,fish,idea,position,citizen,251.23
family,federal,painting,eat,relate,981.5
itself,wish,discover,require,join,928.36
so,down,baby,parent,travel,243.62
between,imagine,especially,recently,anything,683.06
building,record,director,late,memory,480.3
bed,nature,gun,information,close,307.53
seek,with,least,staff,car,77.58
reveal,car,care,hospital,generation,704.27
day,type,these,write,perhaps,15.84
teacher,value,figure,writer,ability,346.66
goal,court,road,pay,realize,960.47
treat,audience,her,also,ever,668.63
suggest,program,young,four,finish,661.97
explain,up,picture,interview,sit,205.12
down,best,parent,any,drug,14.85
guy,suffer,rest,bag,hand,306.65
quite,including,we,arrive,movement,234.81
vote,beyond,help,way,green,40.77
eat,financial,must,agreement,finish,637.95
pay,nearly,standard,adult,send,219.61
first,fire,him,increase,chair,99.85
food,form,serve,process,manage,591.28
occur,ok,along,red,college,190.86
lawyer,even,foot,front,democratic,322.36
by,tend,attack,his,could,118.05
nation,born,that,use,local,33.38
his,pressure,consider,pass,sing,529.65
enter,let,happen,cover,look,13.23
today,security,right,bed,thing,54.34
color,expert,finally,year,purpose,568.32
boy,growth,under,Mrs,manager,825.54
little,section,within,need,while,745.16
less,fact,listen,another,investment,455.06
personal,air,modern,reach,response,176.73
example,event,worker,impact,wide,326.78
language,should,capital,door,particularly,816.39
product,away,discuss,specific,mouth,701.45
head,able,who,let,doctor,256.18
east,same,bring,issue,discussion,877.72
on,finally,appear,yourself,organization,515.33
want,industry,customer,hotel,try,537.91
time,where,recent,me,discover,506.42
church,this,again,forget,mind,588.93
task,woman,Congress,all,common,330.09
however,medical,a,here,benefit,520.97
set,who,write,then,seat,717.45
but,rather,sister,value,whatever,264.52
chance,again,generation,feel,program,372.2
probably,matter,commercial,safe,security,564.62
project,cultural,according,simple,edge,460.01
gun,challenge,successful,time,policy,856.99
occur,start,upon,news,reveal,766.74
all,sure,go,field,factor,461.73
industry,table,too,economic,thus,930.15
moment,yes,outside,court,audience,506.15
usually,often,executive,most,hotel,272.01
head,home,seven,page,yourself,526.75
store,with,she,to,yes,810.54
we,walk,particularly,kitchen,fear,134.18
financial,last,education,bar,right,786.39
decide,own,start,less,pick,528.63
water,season,total,administration,prove,405.29
action,go,serious,author,mean,892.11
house,his,this,hospital,provide,215.39
if,civil,six,tonight,although,231.68
into,office,themselves,party,into,491.27
various,professor,single,through,person,660.25
mother,south,growth,administration,hit,728.6
work,easy,she,military,standard,245.3
medical,begin,rich,attack,pressure,354.7
miss,without,blood,father,modern,322.6
pull,program,whether,project,attention,879.39
moment,future,lose,laugh,mind,233.39
force,among,worry,near,memory,723.78
be,collection,goal,speech,arm,756.29
behind,see,interesting,move,try,326.79
market,look,open,agree,miss,678.39
a,safe,rule,gas,pretty,834.83
smile,theory,where,street,cell,173.81
yes,list,push,produce,group,206.83
seat,people,increase,somebody,keep,524.56
discussion,recently,of,later,member,226.6
soon,us,any,enough,sure,678.06
figure,study,fish,enter,card,330.59
least,lot,others,sure,sense,526.54
gun,let,health,left,apply,553.01
air,painting,speak,yeah,generation,567.9
research,toward,information,trip,first,178.11
only,thousand,movement,number,hand,828.34
floor,person,improve,nor,tree,903.3
painting,center,that,note,source,563.72
operation,part,three,late,point,411.01
staff,include,him,culture,pretty,265.15
school,year,your,about,back,539.55
we,every,degree,cold,themselves,635.03
player,national,hear,past,line,810.14
whose,floor,window,far,them,396.64
detail,book,billion,mean,sound,283.0
case,site,human,political,resource,612.3
section,scene,ten,use,huge,785.69
scientist,them,item,rate,chance,370.02
film,budget,trouble,break,the,569.28
feeling,name,fund,develop,blue,470.37
process,item,different,structure,step,236.4
after,recognize,think,final,television,99.84
exist,every,item,general,analysis,50.55
choose,financial,sea,painting,college,839.22
out,if,relationship,improve,general,732.1
every,building,experience,little,would,941.93
set,station,key,poor,too,511.61
end,young,whole,fish,practice,226.79
and,traditional,poor,local,create,627.23
own,these,state,room,food,436.64
summer,hope,cost,way,glass,93.89
couple,including,them,cost,easy,432.3
small,open,keep,address,way,93.0
history,present,figure,management,many,107.16
look,protect,fish,result,memory,724.4
skill,stage,set,star,history,458.66
maybe,executive,check,laugh,woman,987.06
wind,treat,partner,option,entire,298.03
while,list,use,both,southern,519.19
some,sell,cover,apply,focus,542.98
great,smile,control,improve,prepare,217.99
remember,indicate,question,a,car,493.09
including,population,themselves,require,individual,36.91
value,play,seven,benefit,hour,731.74
song,decade,bill,traditional,quality,44.3
per,foreign,per,seem,science,755.95
pressure,himself,become,spring,poor,263.65
onto,particular,boy,fish,probably,562.69
difficult,environment,no,eat,spend,681.73
season,many,media,theory,lot,499.01
generation,officer,minute,herself,defense,312.93
film,politics,inside,relationship,former,707.8
change,market,part,close,matter,189.18
meet,all,first,rather,near,579.72
better,develop,party,seem,matter,984.29
avoid,lay,account,quickly,defense,821.59
message,individual,chance,majority,smile,942.44
least,important,open,marriage,executive,169.9
identify,we,hotel,nor,represent,252.72
buy,five,middle,while,cover,281.89
person,hope,mention,mission,seek,373.69
police,newspaper,finish,order,security,193.78
song,moment,chance,activity,teach,610.46
activity,good,way,guess,cultural,717.31
sport,military,special,may,scene,379.53
worker,wrong,medical,pressure,message,784.49
nor,service,current,matter,surface,476.25
beat,far,agency,week,beat,9.54
my,enjoy,others,management,goal,322.65
suggest,about,oil,medical,factor,420.89
rise,short,address,eight,create,394.34
call,former,can,will,assume,546.36
ok,actually,raise,operation,Mrs,947.96
leave,current,toward,behind,determine,71.82
well,culture,clearly,prepare,safe,318.89
rise,rate,personal,hour,wind,598.36
property,science,the,never,shake,204.97
now,seek,attack,growth,dream,576.82
claim,up,seven,hospital,stage,769.49
television,future,rise,federal,property,751.9
share,full,require,hair,measure,831.41
suddenly,surface,west,voice,piece,899.68
both,none,such,school,mind,236.85
sort,true,ready,office,identify,979.23
a,without,child,science,tough,938.74
argue,remain,let,risk,ahead,580.71
a,particular,little,budget,game,274.25
response,pattern,push,like,treat,580.42
nice,available,author,professional,send,125.21
window,develop,decade,right,time,242.32
we,physical,which,director,natural,565.24
room,artist,form,hold,civil,75.68
watch,wind,left,same,bank,996.12
vote,remember,test,idea,evening,913.53
during,media,oil,contain,some,914.32
beyond,product,quite,form,loss,644.52
set,image,area,travel,indicate,126.93
community,necessary,popular,fish,run,184.73
investment,yeah,heavy,economic,task,199.47
some,form,military,foot,fight,422.75
nothing,focus,like,story,modern,259.78
idea,research,ground,hair,operation,495.67
require,consider,change,her,Republican,721.42
cup,money,fill,something,today,927.88
full,which,this,able,shake,44.1
south,detail,newspaper,my,country,268.65
bed,interview,price,them,employee,695.45
want,coach,tax,several,baby,669.92
dark,between,now,instead,body,379.85
me,perhaps,physical,drop,once,615.78
both,commercial,on,entire,hair,98.29
executive,blood,go,different,decide,491.99
all,clearly,area,car,else,548.92
college,either,for,partner,save,431.6
prepare,nearly,some,environmental,Mr,245.44
expect,plant,perhaps,military,special,578.56
safe,find,wait,style,wind,20.51
deep,detail,fish,behavior,reveal,744.75
everything,reflect,too,entire,no,759.98
way,them,data,food,project,505.22
stage,little,leader,international,indeed,891.21
many,above,raise,event,born,63.2
religious,several,kitchen,explain,any,927.33
serious,market,wait,Republican,cover,887.26
forward,son,offer,product,prove,622.31
agreement,what,account,work,system,672.15
weight,less,home,imagine,great,687.12
four,Republican,perhaps,claim,through,121.84
lead,common,around,leg,main,384.32
vote,have,mean,probably,book,446.67
network,down,determine,authority,technology,519.09
white,kind,person,reveal,me,843.11
rich,remain,agree,foreign,bad,874.04
try,anything,cold,nation,either,98.87
beautiful,argue,run,sense,its,184.53
site,tonight,detail,travel,century,104.39
difference,dream,about,west,consumer,716.72
left,ability,indeed,medical,when,449.45
by,customer,spring,large,simple,363.17
hear,let,necessary,nor,nearly,700.22
relationship,there,vote,nearly,image,603.37
card,ok,prevent,scientist,all,9.59
hard,look,many,public,there,736.67
leader,money,from,standard,information,126.04
south,modern,experience,choice,game,759.42
government,begin,building,card,party,865.61
money,investment,as,area,authority,598.6
fly,speech,however,reach,partner,507.43
reveal,source,simple,morning,who,484.61
face,individual,put,her,feel,841.12
real,put,newspaper,during,officer,678.7
full,rather,employee,still,hard,866.69
box,cause,wrong,manager,coach,461.56
themselves,entire,paper,seat,price,230.16
family,protect,factor,bring,evening,447.76
peace,official,stop,worker,reach,385.99
anyone,not,clear,address,show,887.53
wind,half,open,recent,position,507.06
check,something,they,couple,arrive,432.8
process,turn,early,mention,manage,189.81
more,mother,remain,conference,all,108.87
factor,protect,adult,sister,call,619.78
back,type,law,star,like,389.19
instead,despite,center,catch,system,716.47
with,inside,run,quality,eight,726.3
administration,specific,tell,summer,party,625.07
ever,set,fly,leave,meeting,226.11
reduce,list,continue,military,stage,145.39
general,military,reach,common,own,671.69
her,seat,smile,approach,even,415.21
friend,son,home,cell,knowledge,489.57
nearly,recently,drug,easy,end,220.81
need,billion,glass,rich,choice,248.93
memory,necessary,language,someone,still,448.73
process,wide,notice,investment,method,614.45
always,strong,spend,fact,carry,198.27
paper,give,when,strong,physical,676.69
professor,market,think,call,fall,376.64
individual,last,his,trip,white,739.52
glass,east,second,western,easy,549.84
young,fill,me,everyone,popular,285.96
letter,similar,almost,ten,business,267.95
tree,too,speak,forward,movie,864.49
feeling,our,still,between,direction,355.57
policy,treat,but,product,first,201.0
any,third,a,she,top,158.53
key,future,evidence,represent,total,370.36
month,miss,save,network,event,920.64
stand,central,center,smile,whatever,933.46
strategy,young,bar,condition,idea,892.38
natural,like,nation,lose,chance,927.57
want,short,defense,about,above,29.72
few,impact,young,walk,loss,940.6
claim,standard,it,result,responsibility,460.77
field,make,improve,huge,tax,499.03
its,policy,bar,doctor,decade,452.23
bring,source,whatever,certainly,type,445.61
trouble,security,front,hospital,car,910.95
American,central,shake,drug,forget,230.99
contain,region,green,discover,along,57.07
sort,compare,view,program,these,534.11
truth,sometimes,door,where,lose,818.01
cut,management,learn,born,and,44.59
many,decision,east,number,expert,486.43
direction,film,development,join,computer,560.41
behind,paper,maybe,should,teach,53.12
reveal,person,me,position,wonder,838.78
poor,other,different,win,information,349.88
top,section,maybe,exist,gun,395.66
property,out,low,management,property,644.73
forward,year,rate,them,send,46.52
military,project,capital,hot,analysis,637.04
activity,beyond,class,piece,who,226.71
black,peace,government,building,I,214.1
great,spring,statement,Mr,team,646.32
deep,white,pretty,deal,result,666.89
market,stuff,environment,avoid,section,247.23
research,chair,truth,drug,maybe,376.05
safe,level,at,court,point,970.32
new,bed,five,huge,show,289.33
wonder,officer,along,lawyer,everything,305.11
them,nature,throughout,knowledge,itself,702.02
its,by,partner,parent,try,585.44
board,outside,prove,soon,try,459.59
agency,real,TV,from,left,933.48
no,between,law,result,show,830.94
child,common,unit,agree,baby,730.56
society,whether,table,same,yard,4.7
bit,enough,several,fall,maintain,301.8
wind,agent,fly,door,former,579.35
positive,condition,why,computer,loss,752.64
to,finally,guess,including,west,694.54
find,church,happy,down,serve,375.69
dog,agree,still,artist,north,220.48
million,goal,sort,star,live,156.61
law,animal,yes,evening,fear,55.29
her,get,strategy,practice,foreign,315.72
art,decade,knowledge,station,enjoy,857.98
evening,style,never,agent,blue,189.45
fish,create,song,term,dark,457.67
deal,analysis,those,leader,your,372.6
hold,low,you,front,station,314.31
stop,option,hotel,commercial,white,118.69
forget,baby,it,sort,run,600.49
city,though,fine,right,policy,891.95
develop,walk,daughter,newspaper,leave,969.89
space,life,pick,whether,job,922.55
interest,lose,fear,majority,subject,785.6
force,religious,without,meet,there,678.85
half,southern,behavior,hair,let,268.6
result,technology,happen,admit,together,715.65
finally,bed,choose,hospital,ok,567.08
certain,then,move,speech,measure,587.99
process,play,improve,tonight,author,886.98
soldier,model,history,style,attention,695.18
bill,image,account,act,we,582.75
take,data,face,listen,miss,337.68
police,along,yet,she,might,816.55
success,artist,treatment,leader,bit,407.62
pay,medical,road,him,campaign,165.18
happy,successful,else,approach,sign,746.73
industry,them,must,nothing,town,329.27
tonight,however,hot,computer,him,246.95
hard,hotel,letter,someone,imagine,696.43
artist,clear,authority,notice,major,360.22
exactly,international,difference,begin,he,604.03
pull,picture,soldier,concern,page,4.14
pressure,quickly,air,course,strong,868.41
agent,high,degree,far,available,251.81
pick,theory,fund,suffer,seem,284.38
movie,west,camera,factor,including,595.2
yourself,responsibility,daughter,score,participant,375.56
class,ago,cost,cut,fear,756.19
miss,probably,education,event,common,987.77
meeting,build,though,course,consider,795.18
wish,benefit,laugh,make,save,815.85
remain,market,fund,these,change,744.99
catch,threat,phone,economic,politics,10.71
into,south,Republican,chance,report,749.44
million,camera,walk,white,once,851.76
hold,war,put,wide,fine,255.81
since,time,task,drop,near,544.0
billion,defense,carry,cultural,action,755.18
partner,family,speak,left,project,731.71
remember,evidence,here,prepare,network,93.89
by,member,wind,race,somebody,362.48
in,usually,assume,ten,what,660.22
once,newspaper,management,guess,listen,839.88
official,image,interesting,sort,activity,486.96
course,across,anyone,create,guy,697.04
us,she,social,relationship,unit,36.27
good,return,thing,issue,or,168.26
shoulder,various,probably,go,white,140.59
price,trouble,require,art,become,671.96
nice,anyone,wish,put,wind,74.48
air,raise,none,card,black,704.55
everyone,rate,garden,term,field,553.86
or,party,draw,heart,fear,366.17
decide,including,something,difficult,building,107.97
someone,season,concern,goal,man,643.67
miss,dark,cover,network,front,956.47
resource,almost,girl,us,such,942.45
amount,make,rather,article,anyone,106.92
popular,anyone,meet,field,air,79.03
above,adult,else,create,open,666.74
whom,idea,fill,TV,treatment,20.26
control,offer,program,prevent,offer,567.34
call,back,full,stand,behavior,75.3
owner,with,tend,level,skill,822.39
human,employee,bar,article,mean,613.57
simple,daughter,enter,million,court,455.74
tax,voice,director,force,mind,380.66
strategy,generation,reduce,power,teach,585.91
stay,section,work,guess,exactly,767.55
town,thousand,stock,let,most,759.91
class,food,yard,popular,field,128.93
close,subject,score,executive,technology,866.25
stuff,fine,memory,choice,second,878.3
boy,machine,pass,money,real,67.14
